base_lr,lr,data_time,grad_norm,loss,decode.loss_cls,decode.loss_mask,decode.loss_dice,decode.d0.loss_cls,decode.d0.loss_mask,decode.d0.loss_dice,decode.d1.loss_cls,decode.d1.loss_mask,decode.d1.loss_dice,decode.d2.loss_cls,decode.d2.loss_mask,decode.d2.loss_dice,decode.d3.loss_cls,decode.d3.loss_mask,decode.d3.loss_dice,decode.d4.loss_cls,decode.d4.loss_mask,decode.d4.loss_dice,decode.d5.loss_cls,decode.d5.loss_mask,decode.d5.loss_dice,decode.d6.loss_cls,decode.d6.loss_mask,decode.d6.loss_dice,decode.d7.loss_cls,decode.d7.loss_mask,decode.d7.loss_dice,decode.d8.loss_cls,decode.d8.loss_mask,decode.d8.loss_dice,time,iter,memory,step
9.994431042870633e-06,9.994431042870633e-07,0.010989880561828614,225.0441566467285,40.627405643463135,1.0191940903663634,2.0262554198503495,1.723104128241539,3.944494295120239,1.1676433846354484,1.4956727981567384,0.9821447670459748,1.1882721211761236,1.5146459609270095,0.8620201617479324,1.1501740541309118,1.5041668593883515,0.8106553733348847,1.1349892668426036,1.515739119052887,0.852310249209404,1.184033054113388,1.4860374867916106,0.8592288553714752,1.1198695585131646,1.4955870002508163,0.8754203468561172,1.2058661520481109,1.5293393224477767,0.9520696103572845,1.3137723952531815,1.5930819511413574,0.9657446503639221,1.5111114725470542,1.6447610259056091,1.3221059560775756,100,12488,100
9.988805483600909e-06,9.988805483600911e-07,0.010593938827514648,216.80773429870607,34.454215908050536,0.6421676032245159,1.3124575834721326,1.2436445623636245,3.875447702407837,1.145934872329235,1.2486881554126739,0.6340452462434769,1.2083348993211984,1.238106545805931,0.6047009132802487,1.1920221921056509,1.2463168799877167,0.6254293821752072,1.2296216707676648,1.2066101253032684,0.5826316367834806,1.3123099841177464,1.2635358721017838,0.6142068240791559,1.3067769806832075,1.2688022911548615,0.5529251381754875,1.3309381194412708,1.1939704298973084,0.5574571002274752,1.435104551166296,1.192803055047989,0.642805602401495,1.3317148067057132,1.2147048205137252,1.3003602266311645,200,8410,200
9.983179572282663e-06,9.983179572282661e-07,0.0105560302734375,308.02435503005984,40.54463710784912,0.8209385151043535,1.5158869158476591,1.1195908814668656,3.8501691579818726,1.563158417120576,1.3002784848213196,0.7545279584825039,1.5887295369058847,1.3120614141225815,0.7931629940867424,1.634114434197545,1.3170902609825135,0.8602830966934562,1.6748691819608212,1.3146172702312469,0.8031692815944552,1.6977654688060284,1.3593614161014558,0.8318225838243961,1.672866079583764,1.3101291835308075,0.8560511810705066,1.6392541632056237,1.2312598645687103,0.8667774396017194,1.7491609577089549,1.2805894374847413,0.8689689841121435,1.7137377623468637,1.24424447119236,1.2994900226593018,300,8410,300
9.97755330867338e-06,9.977553308673376e-07,0.010541343688964843,276.41200561523436,33.10861439704895,0.40248487778007985,1.3866204515099525,1.2397057741880417,3.760567307472229,0.96458918787539,1.2603750556707383,0.5703003656119108,1.143058330193162,1.2250438779592514,0.601780255138874,1.1101514875888825,1.2356305986642837,0.5634781818836927,1.2947352401912213,1.2322313725948333,0.5071388684213162,1.2784725420176983,1.278828924894333,0.4595043960958719,1.3306186959147452,1.3157450169324876,0.3911099510267377,1.3330520778894424,1.3014659255743026,0.5083610281348229,1.1771965429186821,1.3079490959644318,0.4703687338158488,1.1643538504838944,1.2936979621648788,1.3045532941818236,400,8411,400
9.971926692530234e-06,9.971926692530235e-07,0.010618162155151368,385.93130655288695,33.74611239433288,0.4981771861203015,1.3734208840876818,1.1745347529649734,3.695500612258911,1.3823770843446255,1.1512647241353988,0.6113314740359783,1.379830039292574,1.130167657136917,0.5531574141234159,1.4206569381058216,1.1560433834791184,0.558260484226048,1.320841344445944,1.122801885008812,0.4834964666515589,1.4687010016292334,1.1414523601531983,0.5346441169269383,1.3279998425394297,1.1514817208051682,0.5285697723738849,1.374176589399576,1.112095594406128,0.5137983629480004,1.3485801830887794,1.1665784895420075,0.5139438106678427,1.3990037765353918,1.1532239854335784,1.307738971710205,500,8411,500
9.966299723610091e-06,9.966299723610112e-07,0.010530734062194824,388.3241912841797,34.75323557853699,0.5225581306032836,1.4556663125753402,1.2638005137443542,3.642969584465027,1.2099461503326894,1.3355714857578278,0.5540474385023118,1.3757588613778353,1.280005070567131,0.5249921411275864,1.3521388564258814,1.2519918352365493,0.5576803809963167,1.2768559403717519,1.2475904822349548,0.5373461509123445,1.2600466389209033,1.2435902953147888,0.5300630629993975,1.279743881523609,1.2376977115869523,0.5859833306632936,1.4005440495908261,1.2450020968914033,0.5097905926406383,1.4732071697711944,1.289391902089119,0.6194524069316685,1.4172262586653233,1.2725781619548797,1.3098783493041992,600,8407,600
9.960672401669535e-06,9.96067240166954e-07,0.010506558418273925,544.3946725845337,32.03899698257446,0.2976638538762927,1.3070431232452393,1.271616268157959,3.571690392494202,1.368545613437891,1.2573779076337814,0.4037641165778041,1.304434560984373,1.226173561811447,0.3697136244736612,1.3118029668927194,1.1613107293844223,0.3336850551888347,1.3210979141294956,1.243738877773285,0.3225114054046571,1.2811254542320967,1.1875531047582626,0.2809550456702709,1.3572281070053578,1.2490903586149216,0.29911406729370354,1.3474853236228228,1.2366275906562805,0.2962802088819444,1.3746918566524982,1.2065224140882491,0.3026486019138247,1.3235438629984855,1.2239617824554443,1.3118069648742676,700,8410,700
9.955044726464747e-06,9.955044726464752e-07,0.010540246963500977,575.9366358757019,36.03004579544067,0.5296083235181868,1.4265651941299438,1.411633524298668,3.552130389213562,1.1355290494859218,1.46576466858387,0.5272968336939812,1.3441343303769826,1.4408362239599228,0.5678700966760516,1.344969753175974,1.417501750588417,0.5250370509922504,1.4115304175764323,1.3995126485824585,0.5065697240643203,1.4383543480187655,1.4002608776092529,0.5129657966084779,1.3461464870721103,1.3917848378419877,0.5365676708519459,1.4239340081810952,1.3712369471788406,0.5372931818012148,1.3731703355908393,1.3942217469215392,0.535573196830228,1.3556506659835577,1.4063963681459426,1.3121353149414063,800,8410,800
9.949416697751654e-06,9.949416697751642e-07,0.010506749153137207,488.1039138317108,32.84525518417358,0.6067510331515222,1.33070817142725,1.109325334429741,3.492172122001648,1.204869957640767,1.108696386218071,0.5543169303797185,1.3077868677675724,1.0868928343057633,0.5704809893853963,1.314995876699686,1.065085169672966,0.5517849532421678,1.348714780062437,1.0791954070329666,0.5294926257338375,1.3527039892971515,1.094289630651474,0.619822503393516,1.3433366518467664,1.0769269615411758,0.5955001326277852,1.3695451524108648,1.0869448870420455,0.49952523577958347,1.3247344259172678,1.1637627840042115,0.5918100194539875,1.3629877798259258,1.1020943135023118,1.3109615564346313,900,8407,900
9.943788315285836e-06,9.94378831528581e-07,0.010484743118286132,561.8299501180649,35.844187068939206,0.7238909989828244,1.3967739164829254,1.203379261493683,3.405968189239502,1.385233025625348,1.2414681524038316,0.7104283253662288,1.35876347348094,1.1922238498926163,0.7238445764407515,1.3843868777155877,1.2145273298025132,0.7183281891047955,1.3637174222618342,1.1725216120481492,0.7003547424916178,1.4026052072644233,1.1717652320861816,0.7384252907009795,1.4229890782386065,1.2384666949510574,0.7431483313674108,1.3886966712772846,1.1629947781562806,0.7430477316956967,1.3705121926963328,1.1802893429994583,0.8088431850308553,1.406232614815235,1.1703626066446304,1.3119451999664307,1000,8407,1000
